Makaskiptasamningar með íbúðarhúsnæði á höfuðborgarsvæðinu,,,,,
Ár,Mánuður,Sölur,Makaskiptasamningar + lausafé,Makaskiptasamningar,Lausafé
,,,,,
2006.0,6.0,453.0,3.0,1.0,2.0
2006.0,7.0,460.0,19.0,14.0,5.0
2006.0,8.0,377.0,10.0,7.0,4.0
2006.0,9.0,436.0,9.0,6.0,3.0
2006.0,10.0,492.0,20.0,16.0,4.0
2006.0,11.0,572.0,23.0,17.0,6.0
2006.0,12.0,591.0,37.0,33.0,5.0
2007.0,1.0,479.0,23.0,20.0,3.0
2007.0,2.0,673.0,22.0,21.0,1.0
2007.0,3.0,856.0,33.0,29.0,4.0
2007.0,4.0,741.0,21.0,16.0,5.0
2007.0,5.0,898.0,19.0,13.0,8.0
2007.0,6.0,960.0,14.0,13.0,1.0
2007.0,7.0,915.0,19.0,16.0,3.0
2007.0,8.0,818.0,14.0,11.0,4.0
2007.0,9.0,837.0,12.0,12.0,1.0
2007.0,10.0,880.0,20.0,18.0,2.0
2007.0,11.0,692.0,12.0,11.0,1.0
2007.0,12.0,475.0,24.0,21.0,3.0
2008.0,1.0,282.0,15.0,15.0,0.0
2008.0,2.0,375.0,17.0,15.0,2.0
2008.0,3.0,319.0,34.0,30.0,4.0
2008.0,4.0,283.0,11.0,11.0,0.0
2008.0,5.0,231.0,48.0,47.0,2.0
2008.0,6.0,178.0,55.0,53.0,4.0
2008.0,7.0,342.0,55.0,54.0,2.0
2008.0,8.0,271.0,42.0,41.0,1.0
2008.0,9.0,343.0,83.0,72.0,11.0
2008.0,10.0,292.0,54.0,51.0,3.0
2008.0,11.0,151.0,37.0,37.0,1.0
2008.0,12.0,142.0,49.0,48.0,1.0
2009.0,1.0,100.0,33.0,30.0,3.0
2009.0,2.0,125.0,44.0,39.0,7.0
2009.0,3.0,135.0,56.0,53.0,3.0
2009.0,4.0,116.0,58.0,56.0,2.0
2009.0,5.0,162.0,80.0,79.0,1.0
2009.0,6.0,153.0,64.0,63.0,1.0
2009.0,7.0,177.0,65.0,65.0,0.0
2009.0,8.0,148.0,45.0,45.0,0.0
2009.0,9.0,213.0,75.0,75.0,0.0
2009.0,10.0,191.0,56.0,55.0,2.0
2009.0,11.0,191.0,57.0,56.0,3.0
2009.0,12.0,193.0,58.0,56.0,2.0
2010.0,1.0,136.0,35.0,35.0,0.0
2010.0,2.0,178.0,41.0,41.0,0.0
2010.0,3.0,223.0,59.0,59.0,2.0
2010.0,4.0,182.0,37.0,36.0,1.0
2010.0,5.0,198.0,49.0,49.0,2.0
2010.0,6.0,207.0,36.0,36.0,0.0
2010.0,7.0,264.0,50.0,50.0,0.0
2010.0,8.0,203.0,39.0,39.0,0.0
2010.0,9.0,331.0,69.0,69.0,0.0
2010.0,10.0,285.0,36.0,36.0,0.0
2010.0,11.0,272.0,25.0,25.0,0.0
2010.0,12.0,296.0,45.0,42.0,3.0
2011.0,1.0,210.0,27.0,26.0,2.0
2011.0,2.0,260.0,25.0,25.0,0.0
2011.0,3.0,384.0,43.0,41.0,2.0
2011.0,4.0,337.0,33.0,33.0,1.0
2011.0,5.0,399.0,33.0,32.0,1.0
2011.0,6.0,353.0,22.0,19.0,3.0
2011.0,7.0,428.0,25.0,22.0,3.0
2011.0,8.0,407.0,30.0,29.0,1.0
2011.0,9.0,428.0,15.0,15.0,0.0
2011.0,10.0,375.0,24.0,23.0,1.0
2011.0,11.0,458.0,44.0,42.0,2.0
2011.0,12.0,343.0,32.0,29.0,3.0
2012.0,1.0,351.0,13.0,11.0,2.0
2012.0,2.0,324.0,17.0,15.0,2.0
2012.0,3.0,399.0,24.0,24.0,0.0
2012.0,4.0,325.0,25.0,24.0,1.0
2012.0,5.0,463.0,31.0,30.0,1.0
2012.0,6.0,470.0,25.0,24.0,1.0
2012.0,7.0,440.0,32.0,31.0,1.0
2012.0,8.0,403.0,20.0,19.0,2.0
2012.0,9.0,390.0,12.0,10.0,2.0
2012.0,10.0,528.0,19.0,17.0,2.0
2012.0,11.0,525.0,29.0,26.0,3.0
2012.0,12.0,359.0,17.0,16.0,1.0
2013.0,1.0,440.0,20.0,20.0,0.0
2013.0,2.0,385.0,18.0,17.0,1.0
2013.0,3.0,403.0,31.0,29.0,2.0
2013.0,4.0,443.0,17.0,17.0,0.0
2013.0,5.0,455.0,16.0,15.0,1.0
2013.0,6.0,433.0,13.0,12.0,1.0
2013.0,7.0,531.0,15.0,13.0,3.0
2013.0,8.0,455.0,10.0,10.0,0.0
2013.0,9.0,488.0,17.0,16.0,1.0
2013.0,10.0,533.0,23.0,21.0,2.0
2013.0,11.0,437.0,15.0,14.0,1.0
2013.0,12.0,440.0,28.0,27.0,1.0
2014.0,1.0,409.0,11.0,10.0,1.0
2014.0,2.0,431.0,15.0,15.0,0.0
2014.0,3.0,503.0,22.0,21.0,1.0
2014.0,4.0,496.0,7.0,7.0,0.0
2014.0,5.0,490.0,8.0,8.0,0.0
2014.0,6.0,504.0,13.0,13.0,0.0
2014.0,7.0,570.0,22.0,20.0,2.0
2014.0,8.0,475.0,14.0,12.0,2.0
2014.0,9.0,500.0,22.0,20.0,2.0
2014.0,10.0,507.0,22.0,22.0,0.0
2014.0,11.0,556.0,31.0,31.0,0.0
2014.0,12.0,426.0,17.0,16.0,1.0
