Makaskiptasamningar með íbúðarhúsnæði utan höfuborgarsvæðis,,,,,
Ár,Mánuður,Sölur,Makaskiptasamningar + lausafé,Makaskiptasamningar,Lausafé
,,,,,
2006.0,6.0,272.0,4.0,4.0,0.0
2006.0,7.0,264.0,14.0,12.0,2.0
2006.0,8.0,242.0,9.0,7.0,2.0
2006.0,9.0,200.0,10.0,10.0,0.0
2006.0,10.0,236.0,15.0,15.0,0.0
2006.0,11.0,244.0,16.0,14.0,2.0
2006.0,12.0,244.0,12.0,11.0,1.0
2007.0,1.0,169.0,16.0,11.0,5.0
2007.0,2.0,263.0,17.0,16.0,1.0
2007.0,3.0,328.0,16.0,13.0,3.0
2007.0,4.0,315.0,12.0,9.0,3.0
2007.0,5.0,435.0,16.0,15.0,1.0
2007.0,6.0,426.0,12.0,11.0,1.0
2007.0,7.0,416.0,16.0,16.0,0.0
2007.0,8.0,314.0,7.0,7.0,1.0
2007.0,9.0,326.0,10.0,9.0,1.0
2007.0,10.0,375.0,20.0,19.0,1.0
2007.0,11.0,322.0,22.0,14.0,8.0
2007.0,12.0,251.0,23.0,21.0,2.0
2008.0,1.0,194.0,15.0,13.0,2.0
2008.0,2.0,209.0,16.0,15.0,1.0
2008.0,3.0,180.0,17.0,14.0,3.0
2008.0,4.0,154.0,7.0,6.0,1.0
2008.0,5.0,187.0,15.0,10.0,5.0
2008.0,6.0,148.0,17.0,17.0,1.0
2008.0,7.0,220.0,36.0,33.0,3.0
2008.0,8.0,150.0,11.0,10.0,1.0
2008.0,9.0,188.0,22.0,16.0,6.0
2008.0,10.0,153.0,16.0,14.0,2.0
2008.0,11.0,122.0,34.0,23.0,11.0
2008.0,12.0,104.0,21.0,20.0,1.0
2009.0,1.0,80.0,20.0,19.0,1.0
2009.0,2.0,96.0,13.0,12.0,1.0
2009.0,3.0,103.0,14.0,13.0,1.0
2009.0,4.0,95.0,19.0,19.0,0.0
2009.0,5.0,138.0,26.0,25.0,1.0
2009.0,6.0,103.0,21.0,20.0,1.0
2009.0,7.0,99.0,24.0,22.0,2.0
2009.0,8.0,63.0,6.0,6.0,0.0
2009.0,9.0,118.0,15.0,15.0,0.0
2009.0,10.0,92.0,20.0,19.0,1.0
2009.0,11.0,63.0,8.0,8.0,0.0
2009.0,12.0,93.0,16.0,14.0,3.0
2010.0,1.0,63.0,12.0,12.0,0.0
2010.0,2.0,98.0,24.0,23.0,1.0
2010.0,3.0,120.0,18.0,18.0,1.0
2010.0,4.0,75.0,11.0,11.0,0.0
2010.0,5.0,85.0,15.0,14.0,1.0
2010.0,6.0,113.0,17.0,17.0,0.0
2010.0,7.0,129.0,19.0,19.0,0.0
2010.0,8.0,90.0,8.0,7.0,1.0
2010.0,9.0,114.0,11.0,11.0,0.0
2010.0,10.0,100.0,11.0,10.0,1.0
2010.0,11.0,125.0,27.0,27.0,0.0
2010.0,12.0,126.0,21.0,19.0,3.0
2011.0,1.0,95.0,12.0,12.0,1.0
2011.0,2.0,82.0,13.0,10.0,3.0
2011.0,3.0,119.0,15.0,14.0,1.0
2011.0,4.0,111.0,17.0,15.0,2.0
2011.0,5.0,170.0,32.0,32.0,1.0
2011.0,6.0,133.0,13.0,13.0,0.0
2011.0,7.0,131.0,14.0,13.0,1.0
2011.0,8.0,122.0,7.0,6.0,1.0
2011.0,9.0,134.0,17.0,17.0,1.0
2011.0,10.0,149.0,17.0,17.0,0.0
2011.0,11.0,143.0,17.0,17.0,0.0
2011.0,12.0,115.0,5.0,4.0,1.0
2012.0,1.0,116.0,8.0,8.0,0.0
2012.0,2.0,119.0,7.0,5.0,2.0
2012.0,3.0,150.0,19.0,18.0,1.0
2012.0,4.0,97.0,13.0,12.0,1.0
2012.0,5.0,164.0,13.0,12.0,1.0
2012.0,6.0,166.0,18.0,12.0,6.0
2012.0,7.0,175.0,25.0,20.0,5.0
2012.0,8.0,148.0,17.0,16.0,1.0
2012.0,9.0,151.0,21.0,20.0,1.0
2012.0,10.0,148.0,5.0,5.0,0.0
2012.0,11.0,154.0,23.0,22.0,1.0
2012.0,12.0,126.0,10.0,10.0,0.0
2013.0,1.0,122.0,20.0,7.0,0.0
2013.0,2.0,121.0,18.0,5.0,0.0
2013.0,3.0,134.0,31.0,11.0,2.0
2013.0,4.0,153.0,17.0,9.0,1.0
2013.0,5.0,160.0,16.0,13.0,0.0
2013.0,6.0,166.0,13.0,7.0,1.0
2013.0,7.0,168.0,15.0,4.0,0.0
2013.0,8.0,188.0,10.0,6.0,1.0
2013.0,9.0,185.0,17.0,6.0,0.0
2013.0,10.0,192.0,23.0,11.0,0.0
2013.0,11.0,199.0,15.0,13.0,0.0
2013.0,12.0,200.0,28.0,16.0,1.0
2014.0,1.0,125.0,5.0,4.0,1.0
2014.0,2.0,160.0,18.0,18.0,0.0
2014.0,3.0,223.0,6.0,6.0,0.0
2014.0,4.0,171.0,11.0,9.0,2.0
2014.0,5.0,218.0,14.0,12.0,2.0
2014.0,6.0,219.0,7.0,7.0,0.0
2014.0,7.0,236.0,15.0,14.0,1.0
2014.0,8.0,193.0,6.0,5.0,2.0
2014.0,9.0,246.0,11.0,11.0,0.0
2014.0,10.0,216.0,20.0,16.0,4.0
2014.0,11.0,234.0,10.0,9.0,1.0
2014.0,12.0,206.0,9.0,7.0,2.0
