Söluverð nýrra íbúða í fjölbýli eftir árum á landinu öllu,,,
Ár ,Vísitala,Kaupverð á fermeter,Fjöldi 
1993.0,100.0,85881.0,84.0
1994.0,95.39362606397223,81925.0,165.0
1995.0,94.20826492472142,80907.0,223.0
1996.0,99.06614967222086,85079.0,272.0
1997.0,99.01491598840255,85035.0,364.0
1998.0,102.00393567843878,87602.0,289.0
1999.0,108.05649678042872,92800.0,414.0
2000.0,130.36410847568146,111958.0,456.0
2001.0,141.86839929670126,121838.0,486.0
2002.0,147.42026757955776,126606.0,631.0
2003.0,155.92505909339667,133910.0,828.0
2004.0,170.91789802168117,146786.0,1332.0
2005.0,211.66730708771436,181782.0,1275.0
2006.0,254.39736379408714,218479.0,829.0
2007.0,288.8403721428488,248059.0,1628.0
2008.0,288.109127746533,247431.0,440.0
2009.0,272.980053795368,234438.0,162.0
2010.0,267.0893445581677,229379.0,147.0
2011.0,314.98818132066464,270515.0,91.0
2012.0,325.9731488920716,279949.0,196.0
2013.0,342.10710168721835,293805.0,272.0
