Söluverð nýrra íbúða (fjölbýli og sérbýli) eftir ársfjórðungum frá árinu 1993 - landið allt,,,,
Ár ,Ársfjórðungur,Vísitala,Fjöldi ,Kaupverð á fermetra
1993.0,1.0,100.0,22.0,76949.0
1993.0,2.0,106.98774512989122,17.0,82326.0
1993.0,3.0,102.72778073789132,27.0,79048.0
1993.0,4.0,107.5101690730224,42.0,82728.0
1994.0,1.0,108.4536511195727,33.0,83454.0
1994.0,2.0,105.86882220691626,45.0,81465.0
1994.0,3.0,107.22816410869538,38.0,82511.0
1994.0,4.0,98.01037050513976,72.0,75418.0
1995.0,1.0,97.04349634173283,55.0,74674.0
1995.0,2.0,98.8979713836437,68.0,76101.0
1995.0,3.0,100.39376730041975,69.0,77252.0
1995.0,4.0,102.50555562775345,96.0,78877.0
1996.0,1.0,101.0877334338328,60.0,77786.0
1996.0,2.0,104.38732147266371,68.0,80325.0
1996.0,3.0,109.57517316664284,91.0,84317.0
1996.0,4.0,106.62646688066121,106.0,82048.0
1997.0,1.0,105.6465970967784,49.0,81294.0
1997.0,2.0,110.20546075972398,102.0,84802.0
1997.0,3.0,105.28661840959597,131.0,81017.0
1997.0,4.0,108.6888718501865,129.0,83635.0
1998.0,1.0,108.43935593704921,77.0,83443.0
1998.0,2.0,110.9137220756605,79.0,85347.0
1998.0,3.0,113.78705376288192,80.0,87558.0
1998.0,4.0,108.12356235948486,108.0,83200.0
1999.0,1.0,112.92544412532976,94.0,86895.0
1999.0,2.0,112.15350426906132,148.0,86301.0
1999.0,3.0,119.36477407113803,137.0,91850.0
1999.0,4.0,124.0029110189866,129.0,95419.0
2000.0,1.0,134.43449557499122,136.0,103446.0
2000.0,2.0,136.1993008356184,137.0,104804.0
2000.0,3.0,143.01810289932294,122.0,110051.0
2000.0,4.0,150.29045211763636,147.0,115647.0
2001.0,1.0,151.21574029552042,148.0,116359.0
2001.0,2.0,154.08517329659907,128.0,118567.0
2001.0,3.0,149.39895255298964,114.0,114961.0
2001.0,4.0,152.92986263629157,198.0,117678.0
2002.0,1.0,155.47960337366305,156.0,119640.0
2002.0,2.0,162.61289945288436,234.0,125129.0
2002.0,3.0,158.36593068136037,164.0,121861.0
2002.0,4.0,164.6558109916958,163.0,126701.0
2003.0,1.0,165.19253011735046,173.0,127114.0
2003.0,2.0,171.932058896152,144.0,132300.0
2003.0,3.0,169.7591911525816,287.0,130628.0
2003.0,4.0,173.7059610911123,330.0,133665.0
2004.0,1.0,175.33431233674253,277.0,134918.0
2004.0,2.0,179.6475587726936,266.0,138237.0
2004.0,3.0,191.27863909862378,388.0,147187.0
2004.0,4.0,196.50937634017336,560.0,151212.0
2005.0,1.0,211.41535302603023,446.0,162682.0
2005.0,2.0,232.2109449115648,437.0,178684.0
2005.0,3.0,250.6738229216754,337.0,192891.0
2005.0,4.0,245.41709443917398,268.0,188846.0
2006.0,1.0,260.6284682062145,271.0,200551.0
2006.0,2.0,270.1815488180483,248.0,207902.0
2006.0,3.0,297.9947757605687,161.0,229304.0
2006.0,4.0,287.83090098636757,298.0,221483.0
2007.0,1.0,300.00779737228555,371.0,230853.0
2007.0,2.0,302.78366190593766,551.0,232989.0
2007.0,3.0,325.0971422630573,502.0,250159.0
2007.0,4.0,323.6169410908524,437.0,249020.0
2008.0,1.0,308.72915827366177,178.0,237564.0
2008.0,2.0,305.40617811797426,105.0,235007.0
2008.0,3.0,310.14568090553485,157.0,238654.0
2008.0,4.0,319.2738047278067,82.0,245678.0
2009.0,1.0,294.11428348646507,38.0,226318.0
2009.0,2.0,298.20790393637344,48.0,229468.0
2009.0,3.0,306.03906483515055,46.0,235494.0
2009.0,4.0,287.3539617149021,69.0,221116.0
2010.0,1.0,292.3611742842662,44.0,224969.0
2010.0,2.0,319.2543112970929,35.0,245663.0
2010.0,3.0,294.9641970655889,40.0,226972.0
2010.0,4.0,276.0503710249646,50.0,212418.0
2011.0,1.0,322.2822908679775,12.0,247993.0
2011.0,2.0,341.04276858698614,16.0,262429.0
2011.0,3.0,353.18457679761923,27.0,271772.0
2011.0,4.0,386.8224408374378,48.0,297656.0
2012.0,1.0,358.9975178364891,37.0,276245.0
2012.0,2.0,351.5536264278938,58.0,270517.0
2012.0,3.0,337.85494288424803,41.0,259976.0
2012.0,4.0,376.61048226747585,76.0,289798.0
2013.0,1.0,375.2069552560787,36.0,288718.0
2013.0,2.0,366.42581450051335,85.0,281961.0
2013.0,3.0,382.67163965743543,82.0,294462.0
2013.0,4.0,383.80485776293386,91.0,295334.0
2014.0,1.0,425.6481565712355,66.0,327532.0
2014.0,2.0,429.54164446581507,105.0,330528.0
2014.0,3.0,429.4129878231036,84.0,330429.0
2014.0,4.0,442.49307983209656,100.0,340494.0
